2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
23,22,Columbia University,US,United States,XL,FC,VH,5,B,100.0,12,98.0,16,100.0,15,41.0,339,56.0,332,97.0,76,98.0,25,100.0,10,94.0,64,86.0
171,226,Complutense University of Madrid,ES,Spain,XL,FC,VH,4,A,68.0,96,69.0,105,26.0,573,7.0,701+,9.0,701+,26.0,469,83.0,127,58.0,106,96.0,41,49.0
13,20,Cornell University,US,United States,L,FC,VH,5,B,98.0,26,91.0,47,53.0,297,99.0,18,69.0,283,64.0,234,80.0,144,98.0,18,95.0,58,89.0
1401+,1401+,Cukurova University,TR,Turkey,XL,FC,HI,4,A,4.0,601+,3.0,601+,5.0,701+,3.0,701+,2.0,701+,5.0,701+,4.0,701+,7.0,701+,14.0,625,0.0
183,193,Curtin University,AU,Australia,L,CO,VH,3,A,32.0,271,32.0,309,14.0,701+,86.0,88,100.0,43,26.0,459,85.0,119,26.0,320,51.0,305,48.0
454,378,Czech Technical University in Prague,CZ,Czech Republic,L,SP,,5,A,22.0,403,38.0,259,76.0,161,4.0,701+,26.0,526,39.0,349,15.0,592,14.0,618,2.0,701+,25.0
307,,Daegu Gyeongbuk Institute of Science and Technology (DGIST),KR,South Korea,S,FO,VH,2,A,10.0,601+,8.0,601+,89.0,90,100.0,7,5.0,701+,4.0,701+,1.0,701+,5.0,701+,0.0,,34.0
298,308,Dalhousie University,CA,Canada,L,FC,VH,5,A,19.0,465,18.0,488,16.0,701+,42.0,323,99.0,97,75.0,187,37.0,399,22.0,385,94.0,61,35.0
237,205,Dartmouth College,US,United States,M,FC,VH,5,B,21.0,415,24.0,398,58.0,248,79.0,121,5.0,701+,34.0,388,7.0,701+,72.0,65,67.0,217,41.0
233,266,Deakin University,AU,Australia,XL,FC,VH,3,A,30.0,291,26.0,373,5.0,701+,67.0,160,97.0,130,60.0,249,51.0,303,26.0,312,54.0,283,41.0
47,61,Delft University of Technology,NL,Netherlands,L,CO,VH,5,A,73.0,84,79.0,73,37.0,428,85.0,95,100.0,66,89.0,121,91.0,72,42.0,170,98.0,18,76.0
436,471,Dublin City University,IE,Ireland,L,FC,HI,3,A,20.0,452,27.0,360,26.0,575,12.0,690,76.0,248,19.0,557,19.0,548,25.0,334,82.0,137,26.0
57,50,Duke University,US,United States,L,FC,VH,5,B,86.0,53,69.0,106,100.0,7,40.0,344,17.0,634,52.0,278,90.0,82,89.0,37,95.0,53,72.0
78,92,Durham University,UK,United Kingdom,L,FC,VH,5,A,60.0,124,89.0,50,28.0,548,53.0,241,98.0,125,87.0,135,86.0,108,29.0,274,98.0,30,65.0
213,169,Eberhard Karls Universität Tübingen,DE,Germany,L,FC,VH,5,A,46.0,180,30.0,325,93.0,71,20.0,560,68.0,289,27.0,454,90.0,84,21.0,393,42.0,351,44.0
192,174,Ecole des Ponts ParisTech,FR,France,S,FO,VH,5,A,8.0,601+,58.0,142,98.0,45,81.0,109,35.0,458,97.0,75,6.0,701+,30.0,261,19.0,549,47.0
124,138,Eindhoven University of Technology,NL,Netherlands,M,FO,VH,4,A,29.0,295,76.0,78,40.0,390,90.0,75,100.0,30,71.0,205,40.0,377,20.0,426,18.0,567,55.0
199,155,Emory University,US,United States,L,FC,VH,5,B,26.0,342,16.0,522,98.0,50,70.0,149,37.0,431,31.0,409,57.0,268,24.0,357,86.0,115,46.0
36,16,EPFL,CH,Switzerland,M,FO,VH,5,A,85.0,57,60.0,133,92.0,73,98.0,34,100.0,25,100.0,12,66.0,213,19.0,431,42.0,351,80.0
176,208,Erasmus University Rotterdam,NL,Netherlands,XL,FO,VH,5,A,37.0,232,51.0,165,23.0,624,53.0,240,83.0,221,60.0,247,72.0,190,64.0,91,49.0,312,49.0
459,465,"Essex, University of",UK,United Kingdom,L,CO,VH,4,A,16.0,535,5.0,601+,13.0,701+,26.0,475,100.0,82,99.0,53,40.0,380,13.0,638,10.0,678,25.0
7,9,ETH Zurich - Swiss Federal Institute of Technology,CH,Switzerland,L,FO,VH,5,A,99.0,19,84.0,62,72.0,177,99.0,21,100.0,22,99.0,56,96.0,42,79.0,52,88.0,103,93.0
498,346,Ewha Womans University,KR,South Korea,L,FC,HI,4,B,27.0,325,23.0,413,77.0,150,8.0,701+,8.0,701+,20.0,551,2.0,701+,15.0,552,7.0,701+,23.0
380,425,Flinders University,AU,Australia,L,FC,VH,4,A,13.0,601+,7.0,601+,7.0,701+,43.0,313,97.0,127,90.0,119,39.0,385,11.0,701+,65.0,226,29.0
98,118,Freie Universitaet Berlin,DE,Germany,L,FC,VH,4,A,81.0,70,51.0,163,4.0,701+,71.0,141,63.0,308,44.0,332,85.0,118,22.0,378,60.0,251,61.0
229,340,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,Germany,L,FC,VH,5,A,25.0,347,21.0,446,3.0,701+,96.0,48,27.0,511,40.0,342,75.0,172,16.0,541,70.0,207,42.0
50,34,Fudan University,CN,China (Mainland),XL,FC,VH,4,A,85.0,55,90.0,49,85.0,108,72.0,136,88.0,193,33.0,393,23.0,522,50.0,134,44.0,341,74.0
263,231,Gadjah Mada University,ID,Indonesia,XL,FC,HI,4,A,52.0,152,67.0,118,54.0,282,2.0,701+,39.0,419,2.0,701+,2.0,701+,43.0,169,47.0,323,38.0
340,362,George Washington University,US,United States,L,FC,VH,5,B,27.0,323,25.0,393,28.0,541,29.0,439,32.0,478,28.0,444,61.0,239,50.0,135,63.0,235,32.0
297,281,Georgetown University,US,United States,L,FC,VH,5,B,30.0,288,34.0,285,59.0,242,19.0,574,17.0,629,40.0,344,14.0,606,88.0,43,67.0,217,35.0
97,88,Georgia Institute of Technology,US,United States,L,CO,VH,5,A,67.0,100,85.0,59,15.0,701+,67.0,163,39.0,417,65.0,230,33.0,432,42.0,175,70.0,201,61.0
1401+,,Georgian Technical University,GE,Georgia,,FO,,5,A,6.0,601+,4.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
159,143,Ghent University,BE,Belgium,XL,FC,VH,5,A,53.0,146,25.0,379,79.0,141,25.0,486,80.0,231,21.0,528,100.0,8,52.0,124,91.0,84,50.0
302,328,Goethe-University Frankfurt am Main,DE,Germany,XL,FC,VH,5,A,44.0,189,29.0,335,21.0,638,21.0,539,41.0,402,26.0,468,82.0,134,12.0,701+,47.0,327,35.0
421,284,Graz University of Technology,AT,Austria,M,FO,VH,5,A,15.0,595,11.0,601+,100.0,31,14.0,664,75.0,255,59.0,258,10.0,664,14.0,629,4.0,701+,27.0
243,300,Griffith University,AU,Australia,XL,FC,VH,4,A,27.0,332,16.0,526,8.0,701+,66.0,166,100.0,70,32.0,403,73.0,185,16.0,539,93.0,69,40.0
1401+,,Guru Gobind Singh Indraprastha University,IN,India,,CO,,3,A,3.0,601+,3.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
328,288,Gwangju Institute of Science and Technology (GIST),KR,South Korea,S,FO,VH,3,A,17.0,513,9.0,601+,38.0,411,100.0,5,22.0,577,10.0,701+,1.0,701+,8.0,701+,2.0,701+,33.0
310,,Hamad Bin Khalifa University,QA,Qatar,S,FO,VH,3,A,12.0,601+,4.0,601+,100.0,4,89.0,79,0.0,,0.0,,28.0,469,10.0,701+,0.0,,34.0
164,157,Hanyang University,KR,South Korea,L,FC,VH,4,B,49.0,167,81.0,70,84.0,117,23.0,510,17.0,632,54.0,269,16.0,587,25.0,336,78.0,163,50.0
256,217,Harbin Institute of Technology,CN,China (Mainland),L,FO,VH,4,A,29.0,306,15.0,552,42.0,378,99.0,24,9.0,701+,8.0,701+,23.0,517,20.0,412,15.0,603,39.0
4,5,Harvard University,US,United States,L,FC,VH,5,B,100.0,1,100.0,1,98.0,44,100.0,1,85.0,210,67.0,223,100.0,5,100.0,1,97.0,39,98.0
551,449,Hasselt University,BE,Belgium,M,FO,VH,4,A,6.0,601+,3.0,601+,79.0,143,18.0,579,76.0,247,24.0,488,27.0,478,10.0,701+,16.0,596,21.0
235,281,Heriot-Watt University,UK,United Kingdom,M,CO,VH,4,A,16.0,537,21.0,438,19.0,701+,79.0,113,100.0,67,98.0,66,40.0,375,21.0,392,44.0,342,41.0
472,338,Hiroshima University,JP,Japan,L,FC,VH,4,A,24.0,366,14.0,581,81.0,136,10.0,701+,17.0,624,13.0,663,30.0,457,10.0,701+,38.0,382,25.0
196,141,Hokkaido University,JP,Japan,L,FC,VH,5,A,57.0,134,66.0,119,76.0,162,28.0,451,18.0,621,14.0,633,38.0,392,13.0,665,31.0,438,46.0
295,281,Hong Kong Baptist University,HK,Hong Kong SAR,M,CO,VH,3,A,19.0,458,13.0,601+,56.0,265,52.0,249,98.0,118,100.0,20,3.0,701+,15.0,557,17.0,574,35.0
399,308,HSE University,RU,Russia,XL,FO,VH,3,A,27.0,318,32.0,308,91.0,82,2.0,701+,6.0,701+,16.0,597,71.0,191,13.0,639,5.0,701+,28.0
275,306,Huazhong University of Science and Technology,CN,China (Mainland),XL,FC,VH,4,A,23.0,384,29.0,332,10.0,701+,99.0,16,6.0,701+,3.0,701+,45.0,340,17.0,504,27.0,480,37.0
575,410,HUFS - Hankuk (Korea) University of Foreign Studies,KR,South Korea,L,CO,HI,3,B,13.0,601+,24.0,404,85.0,104,2.0,701+,32.0,471,45.0,320,1.0,701+,6.0,701+,1.0,701+,21.0
120,131,Humboldt-Universität zu Berlin,DE,Germany,XL,FC,VH,5,A,90.0,43,66.0,120,8.0,701+,31.0,425,68.0,286,32.0,406,86.0,110,14.0,586,38.0,382,56.0
428,347,IE University,ES,Spain,M,FO,HI,2,C,7.0,601+,41.0,230,56.0,262,3.0,701+,95.0,154,100.0,4,1.0,701+,39.0,183,6.0,701+,26.0
469,443,Illinois Institute of Technology,US,United States,M,CO,VH,5,B,14.0,601+,16.0,532,13.0,701+,49.0,280,30.0,490,94.0,93,2.0,701+,14.0,632,3.0,701+,25.0
595,477,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),SA,Saudi Arabia,L,FC,HI,3,A,8.0,601+,7.0,601+,86.0,101,2.0,701+,99.0,105,17.0,589,12.0,640,8.0,701+,19.0,552,20.0
6,6,Imperial College London,UK,United Kingdom,L,FC,VH,5,A,98.0,23,99.0,12,99.0,42,94.0,58,100.0,61,100.0,14,97.0,35,83.0,45,94.0,61,98.0
225,155,Indian Institute of Science,IN,India,S,SP,,5,A,42.0,202,20.0,454,46.0,340,100.0,6,5.0,701+,2.0,701+,4.0,701+,14.0,621,11.0,660,42.0
149,172,Indian Institute of Technology Bombay (IITB),IN,India,L,CO,VH,4,A,56.0,141,82.0,69,19.0,697,73.0,133,5.0,701+,1.0,701+,9.0,701+,47.0,146,55.0,277,52.0
197,174,Indian Institute of Technology Delhi (IITD),IN,India,M,CO,VH,4,A,51.0,158,76.0,80,22.0,630,64.0,182,2.0,701+,1.0,701+,7.0,701+,33.0,234,38.0,382,46.0
364,384,Indian Institute of Technology Guwahati (IITG),IN,India,M,CO,VH,3,A,17.0,523,25.0,381,8.0,701+,98.0,32,3.0,701+,1.0,701+,6.0,701+,6.0,701+,4.0,701+,30.0
454,396,Indian Institute of Technology Indore (IIT Indore),IN,India,S,FO,VH,2,A,6.0,601+,4.0,601+,33.0,478,94.0,57,2.0,701+,1.0,701+,1.0,701+,8.0,701+,2.0,701+,25.0
278,264,Indian Institute of Technology Kanpur (IITK),IN,India,M,CO,VH,4,A,35.0,247,49.0,175,14.0,701+,76.0,126,2.0,701+,1.0,701+,3.0,701+,21.0,404,22.0,524,37.0
271,270,Indian Institute of Technology Kharagpur (IIT-KGP),IN,India,L,FO,VH,4,A,32.0,272,44.0,211,12.0,701+,86.0,90,3.0,701+,1.0,701+,11.0,659,22.0,388,18.0,567,37.0
285,250,Indian Institute of Technology Madras (IITM),IN,India,M,CO,VH,4,A,40.0,212,56.0,147,27.0,563,55.0,235,3.0,701+,1.0,701+,3.0,701+,26.0,317,7.0,701+,36.0
369,369,Indian Institute of Technology Roorkee (IITR),IN,India,M,FO,VH,5,A,18.0,500,23.0,421,8.0,701+,91.0,72,1.0,701+,2.0,701+,4.0,701+,11.0,701+,28.0,471,30.0
1401+,,Indian Statistical Institute,IN,India,,FO,,4,,8.0,601+,3.0,601+,0.0,,0.0,,0.0,,0.0,,2.0,701+,0.0,,0.0,,0.0
313,339,Indiana University Bloomington,US,United States,XL,FC,VH,5,A,35.0,246,24.0,397,31.0,514,22.0,533,41.0,409,13.0,667,69.0,205,52.0,122,63.0,239,34.0
392,457,Institut National des Sciences Appliquées de Lyon (INSA),FR,France,M,FO,VH,4,A,8.0,601+,29.0,331,37.0,425,51.0,258,29.0,492,69.0,213,19.0,553,13.0,674,21.0,540,28.0
38,48,Institut Polytechnique de Paris,FR,France,M,CO,VH,1,A,45.0,185,100.0,10,97.0,51,94.0,59,99.0,106,98.0,58,77.0,163,90.0,35,73.0,189,80.0
rank display,rank display2,institution,location code,location,size,focus,research,age band,status,0.0,ar rank,0.0,er rank,0.0,fsr rank,0.0,cpf rank,0.0,ifr rank,0.0,isr rank,0.0,irn rank,0.0,ger rank,0.0,SUS RANK,0.0
1401+,,"International University of Business, Agriculture and Technology (IUBAT)",BD,Bangladesh,,CO,,3,,6.0,601+,4.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
556,,INTI International University,MY,Malaysia,S,FO,HI,2,C,5.0,601+,15.0,556,84.0,112,2.0,701+,75.0,252,88.0,126,1.0,701+,9.0,701+,1.0,701+,21.0
400,481,Iowa State University,US,United States,L,CO,VH,5,A,20.0,440,14.0,597,8.0,701+,59.0,217,5.0,701+,11.0,690,51.0,307,27.0,300,52.0,295,28.0
489,449,IPB University (a.k.a. Bogor Agricultural University),ID,Indonesia,L,CO,VH,4,A,22.0,399,39.0,244,66.0,203,2.0,701+,55.0,339,4.0,701+,1.0,701+,24.0,347,3.0,701+,24.0
542,359,ITMO University,RU,Russia,M,FO,VH,5,A,12.0,601+,12.0,601+,96.0,55,7.0,701+,21.0,579,39.0,354,27.0,476,7.0,701+,15.0,612,22.0
304,293,Jagiellonian University,PL,Poland,XL,FC,VH,5,A,37.0,233,47.0,188,65.0,210,6.0,701+,5.0,701+,13.0,655,59.0,248,28.0,289,58.0,259,34.0
415,461,James Cook University,AU,Australia,M,FC,VH,4,A,15.0,567,9.0,601+,14.0,701+,51.0,255,42.0,393,14.0,650,43.0,359,9.0,701+,83.0,131,27.0
502,497,Jilin University,CN,China (Mainland),XL,FC,VH,4,A,14.0,601+,47.0,189,39.0,405,24.0,506,12.0,701+,2.0,701+,18.0,563,18.0,458,14.0,627,23.0
464,420,Johannes Gutenberg Universität Mainz,DE,Germany,XL,FC,VH,5,A,23.0,389,13.0,601+,55.0,281,15.0,641,39.0,418,16.0,594,70.0,193,10.0,701+,19.0,552,25.0
446,350,Johannes Kepler University Linz,AT,Austria,M,CO,VH,4,A,13.0,601+,14.0,598,83.0,122,16.0,617,86.0,201,27.0,447,27.0,487,11.0,701+,18.0,560,26.0
28,24,Johns Hopkins University,US,United States,L,FC,VH,5,B,87.0,51,60.0,134,100.0,8,89.0,77,64.0,300,91.0,111,98.0,21,75.0,60,85.0,122,85.0
440,410,Julius-Maximilians-Universität Würzburg,DE,Germany,L,FC,VH,5,A,17.0,511,6.0,601+,5.0,701+,68.0,154,36.0,449,16.0,591,42.0,363,10.0,701+,12.0,647,26.0
396,490,Justus-Liebig-University Giessen,DE,Germany,L,FC,VH,5,A,14.0,601+,6.0,601+,2.0,701+,86.0,92,12.0,701+,19.0,561,64.0,221,10.0,701+,11.0,655,28.0
56,42,KAIST - Korea Advanced Institute of Science & Technology,KR,South Korea,M,CO,VH,4,A,90.0,44,89.0,53,66.0,202,98.0,35,22.0,570,12.0,682,11.0,662,42.0,174,14.0,621,72.0
396,322,Kazan (Volga region) Federal University,RU,Russia,L,FC,VH,5,A,23.0,387,8.0,601+,94.0,68,3.0,701+,11.0,701+,96.0,82,62.0,234,11.0,701+,24.0,497,28.0
214,197,Keio University,JP,Japan,XL,FC,VH,5,B,51.0,156,94.0,42,58.0,246,6.0,701+,10.0,701+,9.0,701+,9.0,689,80.0,50,39.0,366,44.0
230,181,Khalifa University of Science and Technology,AE,United Arab Emirates,S,SP,,2,A,20.0,448,20.0,451,87.0,98,48.0,281,100.0,10,75.0,184,30.0,459,9.0,701+,67.0,220,42.0
1401+,,Khulna University,BD,Bangladesh,,SP,,3,,6.0,601+,5.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
143,106,King Abdulaziz University (KAU),SA,Saudi Arabia,XL,FC,VH,4,A,55.0,143,62.0,127,53.0,300,38.0,374,98.0,124,23.0,500,84.0,121,17.0,483,44.0,342,52.0
180,160,King Fahd University of Petroleum & Minerals,SA,Saudi Arabia,M,FC,VH,4,A,33.0,267,37.0,268,83.0,124,66.0,165,100.0,24,32.0,402,26.0,492,39.0,185,21.0,536,48.0
203,237,King Saud University,SA,Saudi Arabia,XL,FC,VH,4,A,37.0,236,21.0,435,64.0,218,32.0,419,100.0,83,21.0,525,89.0,92,72.0,67,76.0,171,45.0
40,37,King's College London,UK,United Kingdom,XL,FC,VH,5,A,90.0,46,82.0,68,65.0,215,61.0,201,99.0,99,100.0,23,99.0,14,34.0,223,81.0,142,79.0
119,141,"KIT, Karlsruhe Institute of Technology",DE,Germany,L,CO,VH,4,A,46.0,182,77.0,76,36.0,443,72.0,139,70.0,275,47.0,312,76.0,166,39.0,187,24.0,504,56.0
476,363,Kobe University,JP,Japan,L,FC,VH,4,A,29.0,308,39.0,248,53.0,292,12.0,701+,7.0,701+,8.0,701+,9.0,701+,12.0,701+,11.0,658,24.0
79,74,Korea University,KR,South Korea,L,FC,VH,4,B,82.0,64,94.0,40,81.0,137,37.0,382,14.0,694,36.0,370,20.0,546,71.0,71,59.0,255,65.0
431,477,Koç University,TR,Turkey,M,FC,HI,3,B,22.0,393,47.0,187,24.0,591,29.0,448,27.0,504,11.0,687,6.0,701+,11.0,701+,30.0,449,26.0
73,89,KTH Royal Institute of Technology,SE,Sweden,L,CO,VH,5,A,46.0,181,51.0,162,66.0,201,90.0,74,93.0,162,68.0,217,81.0,142,57.0,108,96.0,44,66.0
61,76,KU Leuven,BE,Belgium,XL,FC,VH,5,A,85.0,56,42.0,220,7.0,701+,93.0,66,93.0,163,46.0,318,100.0,6,56.0,111,76.0,173,70.0
1401+,,Kwame Nkrumah University of Science and Technology,GH,Ghana,,CO,,,,6.0,601+,8.0,601+,0.0,,0.0,,0.0,,0.0,,11.0,656,0.0,,0.0,,0.0
46,36,Kyoto University,JP,Japan,L,FC,VH,5,A,99.0,20,99.0,14,95.0,63,49.0,270,15.0,670,21.0,538,57.0,266,53.0,118,88.0,103,76.0
332,270,Kyung Hee University,KR,South Korea,L,FC,VH,4,B,28.0,312,42.0,224,85.0,106,14.0,657,14.0,684,54.0,272,17.0,577,12.0,701+,34.0,413,33.0
164,135,Kyushu University,JP,Japan,L,FC,VH,5,A,57.0,132,70.0,104,86.0,103,24.0,503,15.0,671,26.0,467,33.0,436,15.0,547,78.0,163,50.0
355,277,L.N. Gumilyov Eurasian National University (ENU),KZ,Kazakhstan,L,FO,VH,3,A,30.0,293,52.0,157,97.0,53,1.0,701+,59.0,319,6.0,701+,1.0,701+,11.0,701+,10.0,678,31.0
242,316,La Trobe University,AU,Australia,L,CO,VH,4,A,23.0,388,20.0,453,7.0,701+,78.0,124,94.0,156,98.0,57,46.0,337,14.0,591,29.0,460,40.0
